iter	Passed	Remaining
462	766	888
463	769	889
464	771	887
465	773	885
466	774	883
467	775	881
468	776	878
469	777	876
470	778	874
471	779	872
472	780	869
473	781	867
474	783	866
475	785	864
476	786	862
477	787	859
478	788	857
479	789	855
480	790	853
481	791	850
482	792	848
483	793	846
484	794	844
485	796	841
486	798	841
487	799	839
488	801	837
489	802	834
490	803	832
491	804	830
492	805	828
493	806	826
494	807	823
495	808	821
496	810	819
497	811	817
498	814	817
499	815	815
500	817	813
501	818	811
502	819	809
503	820	807
504	821	805
505	823	803
506	824	801
507	825	799
508	829	799
509	830	797
510	831	795
511	832	793
512	834	791
513	835	789
514	836	787
515	837	785
516	838	783
517	839	781
518	840	779
519	843	778
520	844	776
521	845	774
522	846	771
523	847	769
524	848	767
525	849	765
526	850	763
527	851	761
528	852	759
529	853	757
530	854	754
531	855	752
532	856	750
533	858	749
534	859	747
535	860	745
536	861	743
537	862	741
538	863	738
539	865	736
540	866	734
541	867	732
542	868	730
543	869	728
544	870	726
545	871	724
546	873	723
547	874	721
548	875	719
549	876	717
550	877	715
551	878	713
552	879	711
553	880	709
554	881	707
555	882	705
556	884	703
557	885	701
558	886	699
559	888	697
560	889	696
561	890	694
562	891	692
563	892	690
564	893	688
565	894	685
566	895	683
567	896	681
568	897	680
569	899	678
570	900	676
571	902	675
572	903	673
573	905	671
574	906	669
575	907	667
576	908	665
577	909	664
578	911	662
579	912	660
580	913	658
581	914	656
582	915	654
583	917	653
584	919	651
585	920	650
586	921	648
587	922	646
588	923	644
589	924	642
590	925	640
591	926	638
592	927	636
593	928	634
594	929	632
595	930	630
596	933	629
597	934	627
598	935	626
599	936	624
600	937	622
601	938	620
602	939	618
603	940	616
604	941	614
605	942	612
606	943	610
607	944	608
608	945	607
609	948	606
610	949	604
611	950	602
612	951	600
613	952	598
614	953	596
615	954	595
616	955	593
617	956	591
618	957	589
619	958	587
620	959	585
621	960	583
622	963	582
623	964	581
624	965	579
625	966	577
626	967	575
627	968	573
628	969	571
629	970	570
630	971	568
631	972	566
632	973	564
633	974	562
634	976	561
635	978	560
636	979	558
637	980	556
638	981	554
639	982	552
640	983	550
641	984	549
642	985	547
643	987	545
644	988	543
645	989	542
646	990	540
647	991	538
648	993	537
649	994	535
650	995	533
651	996	532
652	997	530
653	999	528
654	1000	526
655	1001	525
656	1002	523
657	1003	521
658	1004	519
659	1005	518
660	1008	516
661	1009	515
662	1010	513
663	1011	511
664	1012	509
665	1013	508
666	1014	506
667	1015	504
668	1016	503
669	1017	501
670	1018	499
671	1019	497
672	1021	496
673	1023	494
674	1024	493
675	1025	491
676	1026	489
677	1027	487
678	1028	486
679	1029	484
680	1030	482
681	1032	481
682	1033	479
683	1034	477
684	1036	476
685	1037	475
686	1038	473
687	1039	471
688	1041	469
689	1042	468
690	1043	466
691	1044	464
692	1045	463
693	1046	461
694	1047	459
695	1048	458
696	1050	456
697	1052	455
698	1053	453
699	1055	452
700	1056	450
701	1057	448
702	1059	447
703	1060	446
704	1062	444
705	1063	442
706	1064	440
707	1065	439
708	1068	438
709	1069	436
710	1070	435
711	1071	433
712	1072	431
713	1074	430
714	1075	428
715	1076	426
716	1077	425
717	1078	423
718	1080	422
719	1082	420
720	1083	419
721	1084	417
722	1086	416
723	1087	414
724	1089	413
725	1090	411
726	1091	409
727	1092	408
728	1093	406
729	1094	404
730	1097	403
731	1098	402
732	1099	400
733	1101	399
734	1102	397
735	1103	395
736	1105	394
737	1106	392
738	1107	391
739	1108	389
740	1109	387
741	1111	386
742	1113	385
743	1114	383
744	1115	381
745	1116	380
746	1118	378
747	1120	377
748	1121	375
749	1122	374
750	1123	372
751	1124	370
752	1129	370
753	1132	369
754	1133	367
755	1135	366
